date,row_id,row_name,total_list_size
2021-05-01,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,1104285
2021-05-01,70F,NHS WEST SUSSEX,912313
2021-05-01,71E,NHS LINCOLNSHIRE,799167
2021-05-01,72Q,NHS SOUTH EAST LONDON,2020919
2021-05-01,78H,NHS NORTHAMPTONSHIRE,802430
2021-05-01,84H,NHS COUNTY DURHAM,558310
2021-05-01,91Q,NHS KENT AND MEDWAY,1939460
2021-05-01,92A,NHS SURREY HEARTLANDS,1261013
2021-05-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",969152
2021-05-01,93C,NHS NORTH CENTRAL LONDON,1701286
2021-05-01,97R,NHS EAST SUSSEX,563212
2021-05-01,99A,NHS LIVERPOOL,555900
2021-05-01,99C,NHS NORTH TYNESIDE,223341
2021-05-01,99E,NHS BASILDON AND BRENTWOOD,284323
2021-05-01,99F,NHS CASTLE POINT AND ROCHFORD,185526
2021-05-01,99G,NHS SOUTHEND,189939
2021-05-01,A3A8R,NHS NORTH EAST LONDON,2289074
2021-05-01,B2M3M,NHS COVENTRY AND WARWICKSHIRE,1029224
2021-05-01,D2P2L,NHS BLACK COUNTRY,1277843
2021-05-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",1876579
2021-05-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",1054288
2021-05-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",513139
2021-05-01,U2G6B,NHS THAMES VALLEY ICB - U2G6B,454511
2021-05-01,W2U3Z,NHS NORTH WEST LONDON,2672616
2021-05-01,X2C4Y,NHS KIRKLEES,447769
2021-06-01,00L,NHS NORTHUMBERLAND,331626
2021-06-01,00N,NHS SOUTH TYNESIDE,158615
2021-06-01,00P,NHS SUNDERLAND,284451
2021-06-01,00Q,NHS BLACKBURN WITH DARWEN,179871
2021-06-01,00R,NHS BLACKPOOL,175041
2021-06-01,00T,NHS BOLTON,317644
2021-06-01,00V,NHS BURY,207900
2021-06-01,00X,NHS CHORLEY AND SOUTH RIBBLE,187281
2021-06-01,00Y,NHS OLDHAM,260798
2021-06-01,01A,NHS EAST LANCASHIRE,392055
2021-06-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",240255
2021-06-01,01E,NHS GREATER PRESTON,217616
2021-06-01,01F,NHS HALTON,134327
2021-06-01,01G,NHS SALFORD,290797
2021-06-01,01H,NHS NORTH CUMBRIA,327514
2021-06-01,01J,NHS KNOWSLEY,168955
2021-06-01,01K,NHS MORECAMBE BAY,351270
2021-06-01,01T,NHS SOUTH SEFTON,156774
2021-06-01,01V,NHS SOUTHPORT AND FORMBY,125857
2021-06-01,01W,NHS STOCKPORT,318392
2021-06-01,01X,NHS ST HELENS,199670
2021-06-01,01Y,NHS TAMESIDE AND GLOSSOP,218829
2021-06-01,02A,NHS TRAFFORD,244204
2021-06-01,02E,NHS WARRINGTON,220801
2021-06-01,02G,NHS WEST LANCASHIRE,113919
2021-06-01,02H,NHS WIGAN BOROUGH,335583
2021-06-01,02M,NHS FYLDE AND WYRE,180774
2021-06-01,02P,NHS BARNSLEY,264502
2021-06-01,02Q,NHS BASSETLAW,120668
2021-06-01,02T,NHS CALDERDALE,222343
2021-06-01,02X,NHS DONCASTER,326148
2021-06-01,02Y,NHS EAST RIDING OF YORKSHIRE,307351
2021-06-01,03F,NHS HULL,303846
2021-06-01,03H,NHS NORTH EAST LINCOLNSHIRE,170746
2021-06-01,03K,NHS NORTH LINCOLNSHIRE,182779
2021-06-01,03L,NHS ROTHERHAM,265270
2021-06-01,03N,NHS SHEFFIELD,613487
2021-06-01,03Q,NHS VALE OF YORK,249624
2021-06-01,03R,NHS WAKEFIELD,385872
2021-06-01,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,344760
2021-06-01,04C,NHS LEICESTER CITY,422203
2021-06-01,04V,NHS WEST LEICESTERSHIRE,404527
2021-06-01,04Y,NHS CANNOCK CHASE,135648
2021-06-01,05D,NHS EAST STAFFORDSHIRE,146820
2021-06-01,05G,NHS NORTH STAFFORDSHIRE,216967
2021-06-01,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,216553
2021-06-01,05V,NHS STAFFORD AND SURROUNDS,151016
2021-06-01,05W,NHS STOKE ON TRENT,296509
2021-06-01,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,996965
2021-06-01,06K,NHS EAST AND NORTH HERTFORDSHIRE,613543
2021-06-01,06L,NHS IPSWICH AND EAST SUFFOLK,407547
2021-06-01,06N,NHS HERTS VALLEYS,663038
2021-06-01,06Q,NHS MID ESSEX,401581
2021-06-01,06T,NHS NORTH EAST ESSEX,361981
2021-06-01,07G,NHS THURROCK,183243
2021-06-01,07H,NHS WEST ESSEX,322273
2021-06-01,07K,NHS WEST SUFFOLK,268812
2021-06-01,09D,NHS BRIGHTON AND HOVE,324743
2021-06-01,10Q,NHS OXFORDSHIRE,781104
2021-06-01,10R,NHS PORTSMOUTH,230164
2021-06-01,11J,NHS DORSET,812941
